Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;;;;;;
Negative Prop-Lys;Blue/Red;0;0.711;0.711;0.468;0.468;0.762;1.479;0.393;1;0.946;0.492;1;0.492;0.388;0.701;0.717;0;2;4.8056;0.0005;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.326;0.326;0.725;0.725;0.36;0.63;0.205;0.969;1;0.248;0.248;1;0.473;0.257;0.326;1;2;0.00011;1.9718;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.353;0.353;0.546;0.546;0.421;0.15;1.179;0.998;1;0.993;0.993;1;0.427;0.271;0.356;0;1;0.00958;0.00008;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.721;0.572;0.773;0.664;0.772;1.278;0.467;0.943;0.967;0.61;0.693;0.835;0.44;0.48;0.723;0;2;6.216;5.0996;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.436;0.436;0.742;0.739;0.487;2.039;0.116;1;0.988;0.578;0.994;0.58;0.468;0.252;0.438;1;2;0.0387;0.00062;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.33;0.239;0.752;0.682;0.383;0.164;0.897;0.919;0.978;0.56;0.604;0.884;0.436;0.246;0.337;0;1;5.1326;0.63481;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.73;0.589;0.773;0.677;0.78;1.039;0.586;0.937;0.972;0.603;0.673;0.854;0.442;0.494;0.732;0;2;5.9301;4.0335;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.452;0.451;0.775;0.775;0.502;1.627;0.155;0.98;1;0.476;0.476;0.998;0.47;0.261;0.454;1;2;0.00008;0.3468;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.486;0.486;0.549;0.549;0.553;0.174;1.754;0.998;1;0.994;0.994;1;0.433;0.448;0.508;0;1;0.01055;0.00009;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.73;0.729;0.631;0.624;0.778;1.169;0.517;0.998;0.98;0.464;0.984;0.468;0.437;0.61;0;0;2;2.9094;0.00054;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.569;0.567;0.723;0.728;0.615;2.743;0.138;1;0.987;0.306;0.997;0.306;0.47;0.472;0.569;1;2;0.23974;0.00054;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.467;0.357;0.735;0.704;0.524;0.185;1.482;0.912;1;0.519;0.549;1;0.436;0.427;0.452;0;1;3.7085;0.72365;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.74;0.74;0.589;0.589;0.787;1.033;1;1;1;1;1;1;0.434;0.621;0.795;0;2;2.6457;0.00047;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.592;0.592;0.706;0.706;0.638;2.373;0;1;0.987;0.341;1;0.341;0.471;0.489;0.592;1;2;0.20209;0.00047;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.317;0.317;0.579;0.579;0.383;0.218;0.671;1;0.962;0.607;1;0.607;0.401;0.313;0.336;0;1;2.5895;0.00009;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.722;0.722;0.577;0.574;0.779;1.7;0.357;0.999;0.959;0.474;0.994;0.475;0.409;0.668;0;0;2;3.8276;0.00063;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.416;0.415;0.728;0.728;0.463;1.696;0.126;1;0.98;0.411;0.998;0.411;0.467;0.357;0.416;1;2;0.11519;0.00063;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.33;0.33;0.6;0.6;0.395;0.234;0.668;1;0.958;0.574;1;0.574;0.408;0.319;0.346;0;1;2.2207;0.0001;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.729;0.729;0.552;0.552;0.785;1.392;0.442;1;0.955;0.488;1;0.488;0.412;0.673;0;0;2;2.9143;0.00052;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.428;0.356;0.826;0.831;0.475;1.368;0.165;0.989;0.993;0.661;0.811;0.781;0.471;0.361;0.428;1;2;0.1543;0.86902;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.433;0.433;0.557;0.557;0.514;0.176;1.504;0.873;1;0.615;0.615;1;0.416;0.305;0.524;0;1;0.00385;0.02764;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.702;0.7;0.611;0.605;0.76;1.641;0.352;0.998;0.96;0.46;0.985;0.463;0.425;0.505;0.729;0;2;3.5505;0.00072;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.552;0.55;0.748;0.752;0.604;3.448;0.106;1;0.986;0.355;0.996;0.356;0.475;0.344;0.615;1;2;0.2275;0.00072;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Green;0;0.437;0.437;0.584;0.584;0.517;0.186;1.433;0.837;1;0.474;0.474;1;0.414;0.306;0.531;0;1;0.00528;0.08578;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Blue/Red;0;0.699;0.697;0.6;0.593;0.758;1.319;0.436;0.997;0.963;0.479;0.983;0.483;0.421;0.502;0.729;0;2;2.9154;0.00059;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Prop-Lys;Green/Red;0;0.567;0.565;0.747;0.75;0.618;2.735;0.14;1;0.99;0.379;0.995;0.38;0.476;0.353;0.626;1;2;0.20215;0.00059;0;0;-;-;No Fluorophore;Prop-Lys;;;;;;
Negative Phe-Az;Blue/Green;0;0.426;0.426;0.701;0.701;0.547;0.08;4;0.827;1;0.446;0.446;1;0.384;0.314;0.446;0;1;0.01494;0.34609;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.577;0.577;0.703;0.703;0.696;0.292;2;0.867;1;0.545;0.545;1;0.391;0.393;0.595;0;2;0.01494;0.22644;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.602;0.602;0.802;0.802;0.674;1.947;0;1;1;0;1;0;0.434;0.325;0.602;1;2;0.30494;0.0003;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.44;0.44;0.705;0.705;0.561;0.082;3.851;0.833;1;0.442;0.442;1;0.388;0.322;0.459;0;1;0.0356;0.3939;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.573;0.573;0.741;0.741;0.689;0.235;2;1;1;0;0;1;0.39;0.388;0.591;0;2;0.0356;0.29786;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.635;0.635;0.801;0.801;0.703;1.655;0;1;1;0;1;0;0.436;0.334;0.635;1;2;0.3144;0.00026;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.504;0.504;0.629;0.629;0.582;0;3;1;1;0.816;1;1;0.447;0.363;0.504;0;1;0.02194;0.03428;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.739;0.665;0.778;0.783;0.794;1;1;1;1;0.534;1;1;0.457;0.55;0.739;0;2;5.3427;1.9883;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.563;0.563;0.739;0.739;0.622;2;0;1;1;0.442;1;0;0.47;0.343;0.568;1;2;0.21876;0.00055;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.511;0.511;0.643;0.643;0.585;0.112;3;1;1;1;1;1;0.449;0.372;0.512;0;1;0.00928;0.04685;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.751;0.696;0.767;0.786;0.805;0.478;1;1;1;0;1;1;0.458;0.555;0.751;0;2;4.117;1.5904;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.584;0.584;0.732;0.732;0.642;1.943;0;1;1;1;1;1;0.471;0.354;0.588;1;2;0.09161;0.00046;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.345;0.345;0.573;0.573;0.432;0.113;2;1;1;1;1;1;0.409;0.238;0.37;0;1;0.01872;0.06647;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.626;0.511;0.758;0.712;0.692;0.419;1;1;1;1;1;1;0.422;0.435;0.63;0;2;5.1653;1.3726;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.494;0.494;0.622;0.622;0.547;1.144;0;1;1;1;1;1;0.452;0.271;0.495;1;2;0.07861;0.00026;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.362;0.362;0.595;0.595;0.443;0.121;2;1;1;1;1;1;0.417;0.246;0.384;0;1;0.00675;0.10416;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.658;0.658;0.649;0.649;0.73;0.346;2;1;1;0;0;1;0.428;0.462;0.662;0;2;0.00675;0.10416;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.508;0.508;0.707;0.707;0.563;0.968;0;1;1;0;0;1;0.454;0.282;0.509;1;2;0.0001;0.13824;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.237;0.237;0.749;0.749;0.31;0;0.99;1;1;0.449;0;1;0.419;0.221;0.23;0;1;0.02102;0.37854;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.722;0.722;0.774;0.774;0.802;0;2.068;1;1;0.402;0;1;0.438;0.685;0;0;2;0.02102;0.82976;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.341;0.341;0.8;0.8;0.401;0;0.37;1;1;0.329;0;1;0.444;0.248;0.343;1;2;0.00015;4.1379;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.25;0.25;0.744;0.744;0.325;0;1.062;1;1;0.471;0;1;0.422;0.231;0.255;0;1;0.03183;0.26959;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.724;0.724;0.765;0.765;0.805;0;2.618;1;1;0.403;0;1;0.437;0.685;0;0;2;0.03183;0.768;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.362;0.362;0.798;0.798;0.419;0;0.497;1;1;0.319;0;1;0.447;0.25;0.364;1;2;0.00015;4.3127;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.454;0.454;0.752;0.752;0.568;0;3.821;1;1;0.417;0;1;0.407;0.425;0.475;0;1;0.00747;0.39076;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.601;0.601;0.765;0.765;0.714;0;1.569;1;1;0.431;0;1;0.411;0.556;0.608;0;2;0.00747;0.78532;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.599;0.599;0.813;0.813;0.678;2;0.217;1;1;0.469;1;0.469;0.438;0.405;0.62;1;2;0.25696;0.00042;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.463;0.463;0.733;0.733;0.582;0.086;3.934;0.835;1;0.464;0.464;1;0.406;0.431;0.491;0;1;0.0338;0.38497;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.602;0.578;0.763;0.762;0.711;0.265;1.912;0.867;0.999;0.439;0.442;0.986;0.406;0.552;0.611;0;2;2.0966;1.1824;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.625;0.625;0.773;0.773;0.702;1.761;0.28;1;0.974;0.559;1;0.559;0.441;0.42;0.654;1;2;0.22779;0.00066;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.525;0.525;0.721;0.721;0.618;0.089;4.296;0.862;1;0.407;0.407;1;0.435;0.311;0.542;0;1;0.01344;0.3435;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.7;0.7;0.761;0.761;0.778;0.324;1.869;0.864;1;0.382;0.382;1;0.443;0.458;0.709;0;2;0.01344;0.34451;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.605;0.605;0.775;0.775;0.676;1.984;0.23;1;0.984;0.41;1;0.41;0.461;0.35;0.606;1;2;0.33603;0.0004;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.534;0.534;0.707;0.707;0.63;0.088;4.518;0.853;1;0.44;0.44;1;0.434;0.317;0.553;0;1;0.05085;0.31174;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.693;0.666;0.77;0.787;0.77;0.269;2.205;0.896;0.999;0.417;0.42;0.984;0.44;0.451;0.705;0;2;2.3675;1.0204;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.637;0.637;0.749;0.749;0.707;1.766;0.283;1;0.979;0.485;1;0.485;0.464;0.362;0.638;1;2;0.24249;0.00049;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.517;0.517;0.686;0.686;0.618;0.107;3.561;0.846;1;0.474;0.474;1;0.422;0.339;0.529;0;1;0.0378;0.36808;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.639;0.639;0.744;0.744;0.733;0.318;1.691;0.839;1;0.403;0.403;0.999;0.425;0.404;0.651;0;2;0.4447;0.36671;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.564;0.564;0.785;0.785;0.643;1.638;0.252;1;0.98;0.423;1;0.423;0.45;0.326;0.564;1;2;0.50905;0.00031;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.522;0.522;0.709;0.709;0.619;0.107;3.576;0.856;1;0.443;0.443;1;0.427;0.337;0.534;0;1;0.01407;0.4227;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.649;0.649;0.763;0.763;0.74;0.268;2.045;0.839;1;0.374;0.374;1;0.429;0.405;0.661;0;2;0.01407;0.53488;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.59;0.59;0.76;0.76;0.667;1.426;0.312;1;0.983;0.462;1;0.462;0.454;0.337;0.59;1;2;0.37577;0.00028;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.408;0.408;0.649;0.649;0.496;0.113;2.173;0.885;1;0.634;0.634;1;0.425;0.295;0.409;0;1;0.02626;0.0852;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.678;0.612;0.772;0.776;0.748;0.405;1.381;0.906;0.996;0.498;0.507;0.964;0.435;0.467;0.678;0;2;3.5558;0.98336;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.497;0.497;0.716;0.716;0.561;1.264;0.249;1;0.989;0.559;1;0.559;0.458;0.277;0.501;1;2;0.11914;0.0003;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.414;0.414;0.675;0.675;0.499;0.115;2.161;0.865;1;0.52;0.52;1;0.431;0.299;0.415;0;1;0.02283;0.14975;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.692;0.637;0.773;0.789;0.76;0.341;1.694;0.909;0.997;0.478;0.485;0.969;0.44;0.476;0.692;0;2;2.767;0.89083;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.515;0.515;0.704;0.704;0.583;1.086;0.313;0.968;1;0.629;0.629;1;0.46;0.282;0.518;1;2;0.00011;0.07867;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.376;0.376;0.676;0.676;0.437;0.112;1.699;1;0.99;0.814;1;0.814;0.44;0.279;0.377;0;1;1.7744;0.00015;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.767;0.732;0.798;0.823;0.822;0.412;1.639;0.948;0.999;0.488;0.495;0.972;0.453;0.513;0.774;0;2;2.5979;0.87435;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.365;0.365;0.795;0.795;0.426;0.822;0.22;0.965;1;0.358;0.358;1;0.463;0.241;0.37;1;2;0.00015;0.80956;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.386;0.386;0.665;0.664;0.449;0.113;1.781;1;0.99;0.843;1;0.843;0.441;0.289;0.387;0;1;1.7652;0.00015;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.773;0.758;0.785;0.804;0.828;0.333;2.064;0.928;0.999;0.422;0.426;0.979;0.455;0.516;0.78;0;2;1.8752;0.47242;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.383;0.383;0.796;0.796;0.445;0.681;0.291;0.951;1;0.321;0.321;1;0.465;0.243;0.387;1;2;0.00015;1.6711;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.348;0.348;0.66;0.66;0.462;0.091;2.343;1;1;1;1;1;0.396;0.268;0.348;0;1;0.01776;0.00011;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.627;0.527;0.77;0.695;0.727;0.369;1.436;0.909;0.988;0.587;0.619;0.918;0.406;0.478;0.627;0;2;7.0103;0.61024;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.43;0.43;0.782;0.782;0.51;1.11;0.234;1;0.992;0.607;1;0.607;0.438;0.24;0.432;1;2;0.09759;0.00032;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.355;0.355;0.667;0.667;0.471;0.094;2.369;0.942;1;0.846;0.846;1;0.401;0.277;0.355;0;1;0.01716;0.04223;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.63;0.548;0.775;0.737;0.73;0.275;1.938;0.885;0.995;0.532;0.542;0.966;0.407;0.474;0.63;0;2;5.6067;1.2469;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.453;0.453;0.803;0.803;0.539;0.922;0.315;0.946;1;0.474;0.474;1;0.439;0.245;0.455;1;2;0.00011;0.32608;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.307;0.253;0.678;0.656;0.344;0.116;1.02;0.915;0.983;0.473;0.525;0.826;0.436;0.204;0.316;0;1;4.3822;0.52529;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.742;0.685;0.71;0.728;0.777;0.234;2.586;0.895;0.99;0.456;0.471;0.933;0.432;0.467;0.757;0;2;3.9336;0.75816;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.502;0.502;0.671;0.671;0.528;0.448;0.622;0.898;1;0.195;0.195;1;0.459;0.217;0.507;1;2;0.00011;1.8334;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.327;0.327;0.514;0.514;0.373;0.117;1.189;1;0.991;0.897;1;0.897;0.432;0.216;0.335;0;1;1.6522;0.00012;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.743;0.743;0.554;0.554;0.781;0.195;3.121;1;0.992;0.798;1;0.798;0.428;0.475;0.755;0;2;2.3493;0.00019;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.533;0.533;0.672;0.672;0.557;0.406;0.763;0.906;1;0.192;0.192;1;0.462;0.228;0.538;1;2;0.00012;1.5651;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.57;0.57;0.685;0.685;0.658;0.109;3.991;0.861;1;0.489;0.489;1;0.433;0.397;0.575;0;1;0.01263;0.21521;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.663;0.619;0.77;0.786;0.74;0.366;1.497;0.904;0.998;0.451;0.456;0.977;0.44;0.461;0.663;0;2;2.1303;0.82313;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.641;0.641;0.763;0.763;0.706;2.103;0.237;1;0.981;0.414;1;0.414;0.454;0.345;0.644;1;2;0.3242;0.00029;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.587;0.587;0.664;0.664;0.677;0.109;4.22;0.87;1;0.557;0.557;1;0.431;0.404;0.591;0;1;0.01335;0.20968;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.675;0.641;0.763;0.779;0.751;0.302;1.868;0.888;0.999;0.431;0.436;0.979;0.439;0.468;0.675;0;2;2.2306;0.73404;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.668;0.668;0.744;0.744;0.732;1.822;0.294;1;0.978;0.471;1;0.471;0.456;0.354;0.671;1;2;0.30646;0.0003;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.305;0.305;0.701;0.701;0.372;0.118;1.177;1;1;1;1;1;0.434;0.205;0.306;0;1;0.02503;0.00016;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.795;0.754;0.835;0.848;0.848;0.467;1.541;0.959;0.999;0.568;0.578;0.971;0.457;0.592;0.795;0;2;3.1501;0.79916;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.328;0.328;0.804;0.804;0.388;0.617;0.244;0.953;1;0.344;0.344;1;0.453;0.19;0.33;1;2;0.00016;2.4616;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.299;0.232;0.814;0.752;0.359;0.119;1.077;0.95;0.987;0.632;0.668;0.92;0.429;0.198;0.3;0;1;6.1328;0.5245;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.8;0.77;0.821;0.839;0.853;0.379;1.922;0.941;0.999;0.518;0.526;0.972;0.455;0.595;0.8;0;2;3.1075;0.65199;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.344;0.344;0.797;0.797;0.404;0.51;0.32;0.944;1;0.324;0.324;1;0.454;0.196;0.346;1;2;0.00016;3.4876;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.374;0.374;0.803;0.803;0.484;0.07;3.352;0.902;1;0.48;0.48;1;0.399;0.283;0.423;0;1;0.03159;0.4067;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.741;0.741;0.831;0.831;0.83;0.316;2.18;0.917;1;0.499;0.499;1;0.419;0.563;0.751;0;2;0.03159;0.38317;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.481;0.481;0.83;0.83;0.572;1.499;0.218;1;0.999;0.804;1;0.804;0.435;0.33;0.481;1;2;0.04626;0.00058;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.382;0.382;0.813;0.813;0.493;0.07;3.478;0.914;1;0.459;0.459;1;0.402;0.291;0.438;0;1;0.03256;0.50987;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.74;0.74;0.837;0.837;0.828;0.25;2.74;0.926;1;0.471;0.471;1;0.42;0.559;0.752;0;2;0.03256;1.0035;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.506;0.506;0.872;0.872;0.597;1.253;0.285;0.974;1;0.485;0.485;1;0.441;0.345;0.506;1;2;0.00017;0.77477;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.579;0.579;0.727;0.727;0.656;0.097;4.446;0.886;1;0.442;0.442;1;0.442;0.422;0.58;0;1;0.01439;0.28544;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.715;0.707;0.786;0.796;0.782;0.257;2.383;0.902;1;0.383;0.384;0.993;0.447;0.525;0.715;0;2;0.81979;0.86651;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.666;0.666;0.713;0.713;0.728;1.64;0.323;1;0.981;0.639;1;0.639;0.458;0.418;0.669;1;2;0.11264;0.00036;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.599;0.599;0.712;0.712;0.677;0.096;4.79;0.888;1;0.505;0.505;1;0.442;0.439;0.601;0;1;0.02023;0.22987;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.731;0.728;0.784;0.788;0.797;0.218;2.916;0.885;1;0.38;0.381;0.993;0.449;0.538;0.731;0;2;0.80505;0.57612;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Green/Red;0;0.697;0.697;0.696;0.696;0.756;1.468;0.39;1;0.992;0.801;1;0.801;0.459;0.428;0.7;1;2;0.06064;0.00024;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Green;0;0.216;0.216;0.753;0.753;0.277;0.075;1.031;0.881;1;0.389;0.389;1;0.423;0.173;0.22;0;1;0.03239;0.38804;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
Negative Phe-Az;Blue/Red;0;0.742;0.742;0.8;0.8;0.81;0.262;2.51;0.894;1;0.387;0.387;1;0.456;0.535;0.743;0;2;0.03239;0.53275;0;0;-;-;No Fluorophore;Phe-Az;;;;;;
