Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;;;;;;
Negative Control;Green/Red;0;0.28;0.279;0.668;0.666;0.352;0.741;0.167;1;0.951;0.458;0.998;0.458;0.346;0.139;0.282;1;2;1.6132;0.00063;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.143;0.062;0.461;-0.048;0.189;0.189;0.188;0.728;0.795;0.425;0.591;0.602;0.294;0.107;0.153;0;1;20.196;5.5959;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.75;0.75;0.564;0.564;0.804;0.98;0.66;1;0.984;0.557;1;0.557;0.409;0.553;0.75;0;2;8.7592;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.306;0.306;0.58;0.58;0.374;0.527;0.266;0.74;1;0.354;0.354;1;0.322;0.183;0.306;1;2;0.00029;1.4883;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.145;0.064;0.478;-0.012;0.191;0.193;0.188;0.749;0.802;0.434;0.603;0.608;0.301;0.112;0.155;0;1;20.079;5.7094;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.752;0.752;0.552;0.552;0.807;0.849;0.768;1;0.979;0.581;1;0.581;0.408;0.555;0.753;0;2;7.9304;0.00067;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.317;0.317;0.594;0.594;0.383;0.447;0.329;0.716;1;0.302;0.302;1;0.325;0.186;0.317;1;2;0.00029;4.1207;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.225;0.225;0.337;0.337;0.373;0.222;0.628;0.987;1;0.974;0.974;1;0.281;0.184;0.226;0;1;0.00139;0.00032;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.727;0.721;0.688;0.676;0.802;1.019;0.631;0.985;0.985;0.575;0.936;0.598;0.404;0.653;0.77;0;2;7.2895;0.00089;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.274;0.266;0.656;0.619;0.364;0.691;0.191;0.988;0.966;0.621;0.97;0.633;0.323;0.168;0.274;1;2;1.8248;0.00089;0;0;-;-;No Fluorophore;No Feed;;;;;;
